(4970773, 4970773)
(4976598, 4976598)
(4990858, 4990835)
(4996591, 4819134)
(4009224, 4009224)
(4044859, 4044859)
(4050894, 4085948)
(4059582, 4059582)
(4063186, 4063186)
(4083383, 4083383)
(4107369, 4124551)
(4115953, 4015778)
(4121337, 4121329)
(4124340, 4124338)
(4125079, 4125078)
(4125303, 4125303)
(4125304, 4125304)
(4126029, 4121329)
(4148378, 4121944)
(4152740, 4152740)
(4153782, 4153782)
(4161119, 4161119)
(4171720, 4171720)
(4190504, 4160068)
(4191388, 4160068)
(4191392, 4160068)
(4209377, 4209377)
(4238474, 4238474)
(4247978, 4247978)
(4248344, 4248344)
(4255640, 4255640)
(4269076, 4269076)
(4269077, 4269077)
(4269079, 4269079)
(4269082, 4269082)
(4269083, 4269083)
(4269088, 4269088)
(4269102, 4269102)
(4269121, 4269121)
(4269131, 4269131)
(4269137, 4269137)
(4269146, 4269146)
(4269161, 4269161)
(4270721, 4270721)
(4270723, 4270723)
(4270730, 4270730)
(4273017, 4273017)
(4278929, 4278929)
(4280100, 4280100)
(4280233, 4280233)
(4280244, 4280244)
(4280249, 4280249)
(4294306, 4270713)
(4294309, 4270716)
(4294312, 4270719)
(4298512, 4298512)
(4299025, 4299025)
(4299246, 4299246)
(4299249, 4299249)
(4299251, 4299251)
(4299253, 4299253)
(4299260, 4299260)
(4301275, 4396337)
(4302550, 4302550)
(4307255, 4298402)
(4307308, 4307308)
(4308016, 4340838)
(4310278, 4310278)
(4314016, 4350231)
(4315110, 4359963)
(4316340, 4316340)
(4321408, 4321411)
(4323456, 4405290)
(4325093, 4325093)
(4326020, 4518675)
(4327868, 4368117)
(4327892, 4302910)
(4328709, 4341506)
(4328739, 4341602)
(4328748, 4341600)
(4328753, 4341595)
(4328758, 4328725)
(4328762, 4341586)
(4328765, 4341583)
(4330710, 4330710)
(4331215, 4331215)
(4331302, 4331302)
(4334896, 4334896)
(4335735, 4335735)
(4335736, 4335736)
(4336058, 4413010)
(4338645, 4338645)
(4340151, 4418504)
(4340153, 4418505)
(4340608, 4342476)
(4340861, 4340861)
(4341006, 4350231)
(4341087, 4341087)
(4341480, 4336142)
(4341912, 4384567)
(4348382, 4348382)
(4348744, 4348745)
(4350231, 4350231)
(4350292, 4350301)
(4350300, 4350301)
(4350302, 4350301)
(4350307, 4350301)
(4350419, 4350420)
(4353780, 4360814)
(4353959, 4348944)
(4354576, 4354576)
(4355307, 4301796)
(4355887, 4355887)
(4355890, 4355890)
(4355895, 4355895)
(4355905, 4355905)
(4355908, 4355908)
(4356271, 4356271)
(4356891, 4356894)
(4356893, 4356893)
(4356916, 4356882)
(4359224, 4341658)
(4359226, 4347804)
(4359459, 4359459)
(4359491, 4359491)
(4359963, 4359963)
(4360441, 4360441)
(4361279, 4361279)
(4361288, 4361288)
(4361393, 4361393)
(4362482, 4368117)
(4362492, 4397314)
(4362493, 4302920)
(4362626, 4302909)
(4362762, 4362762)
(4362774, 4362774)
(4362828, 4362828)
(4362830, 4362830)
(4362832, 4362832)
(4362841, 4362841)
(4362844, 4362844)
(4362851, 4362851)
(4362863, 4362863)
(4362864, 4362864)
(4363916, 4363916)
(4365677, 4365677)
(4365724, 4365724)
(4365727, 4365727)
(4368386, 4368386)
(4370945, 4361569)
(4374470, 4413013)
(4374753, 4374753)
(4375934, 4393357)
(4376413, 4376413)
(4377806, 4373431)
(4377813, 4375199)
(4377833, 4375199)
(4379945, 4379945)
(4380028, 4380028)
(4383013, 4400453)
(4383014, 4400453)
(4383556, 4383556)
(4384621, 4406112)
(4384626, 4406117)
(4384795, 4280239)
(4385661, 4385661)
(4385663, 4385663)
(4385668, 4390222)
(4385677, 4390244)
(4385687, 4385687)
(4385700, 4385700)
(4388547, 4388547)
(4388551, 4390127)
(4388552, 4388552)
(4388800, 4388798)
(4389123, 4389123)
(4389916, 4335373)
(4390123, 4388548)
(4390128, 4388553)
(4390197, 4390197)
(4390219, 4385670)
(4390224, 4385669)
(4390239, 4385704)
(4390240, 4390240)
(4390245, 4390245)
(4390492, 4400440)
(4391465, 4391755)
(4391466, 4391756)
(4391470, 4391760)
(4391481, 4391772)
(4391761, 4391761)
(4391762, 4391762)
(4391769, 4391769)
(4391779, 4391779)
(4392343, 4392343)
(4392837, 4392837)
(4394918, 4398626)
(4394938, 4398626)
(4395411, 4395411)
(4395514, 4395514)
(4395517, 4395517)
(4395710, 4392939)
(4395723, 4392939)
(4396013, 4396013)
(4396337, 4396337)
(4397439, 4397437)
(4398626, 4398626)
(4398636, 4398626)
(4398662, 4398722)
(4398702, 4398626)
(4398704, 4398626)
